strategy,benchmark,start_date,end_date,observations,initial_capital,final_equity,total_return,cagr,annualised_return,annualised_volatility,sharpe,sortino,calmar,max_drawdown,max_drawdown_date,max_drawdown_duration_days,hit_rate,average_win,average_loss,win_loss_ratio,profit_factor,best_day,worst_day,skew,kurtosis,var_95,cvar_95,var_99,cvar_99,average_daily_turnover,median_daily_turnover,max_daily_turnover,annualised_turnover,total_transaction_cost_drag,average_daily_transaction_cost,annualised_transaction_cost_drag,average_exposure,max_exposure,min_exposure,average_cash,alpha_daily,alpha_annualised,beta,r_squared,correlation,tracking_error,information_ratio,alpha_t_stat,beta_t_stat,information_ratio_active,train_start,train_end,test_start,test_end,regime,test_year
full_v0,equal_weight_commodities,2019-01-02,2019-12-31,252,10000,10805.440214273718,0.08054402142737183,0.08054402142737183,0.08010904198949284,0.07267039894475122,1.102361389957374,1.5277277483601486,1.4614082017566323,-0.05511397933209683,2019-05-22,116,0.5436507936507936,0.0034423675210113183,-0.0034043070294700675,1.0111800995655715,1.204623249047681,0.014265429784697525,-0.018677492215174285,-0.4016319868965167,1.9528213327886226,-0.006703859222828225,-0.0108180379727047,-0.013566219864885836,-0.015813891255361975,0.017295107746734237,0.0,0.62,4.358367152177028,0.004358367152177028,1.7295107746734237e-05,0.004358367152177028,0.6214794314306555,0.8499366453900863,0.5,0.37852056856934446,0.00023004905737421163,0.05967864306217119,0.3205922060966904,0.2224083379711922,0.4716018850377852,0.06408159928825484,0.9312914116534753,0.9021113698808298,8.45609277504167,0.11418493998521477,2015-01-01,2018-12-31,2019-01-01,2019-12-31,2019_late_cycle,2019
full_v0,equal_weight_commodities,2020-01-02,2020-12-31,253,10000,12220.755237890051,0.22207552378900508,0.2211071801454123,0.20631100792043378,0.11394315753785807,1.8106485056102308,2.364209073900102,2.4000680275784023,-0.09212538044952956,2020-03-19,96,0.5691699604743083,0.0051334584948245915,-0.004881544228059016,1.0516054459401551,1.3892769194071775,0.02431178381968386,-0.03661303810101934,-0.39637755382527473,4.295935920362795,-0.010194550252873713,-0.016061122937593444,-0.019970183774975763,-0.028284181734259006,0.016900272552263233,0.0,0.7566321108044822,4.258868683170334,0.004275768955722598,1.6900272552263233e-05,0.004258868683170335,0.6572832542401007,0.8,0.5,0.3427167457598993,0.0008921535146334844,0.25197519116914324,0.31053704886798184,0.3812098417388189,0.6174219316956748,0.08963135235682232,2.8112394217374996,2.5079384366951296,12.435040785831847,1.476648820632115,2016-01-01,2019-12-31,2020-01-01,2020-12-31,2020_covid_shock_recovery,2020
full_v0,equal_weight_commodities,2021-01-04,2021-12-31,252,10000,12184.832457365717,0.21848324573657174,0.21848324573657174,0.20469133702115944,0.11846500699558177,1.7278632923964927,2.1468200907773656,3.2895170094168575,-0.06641803192113693,2021-07-07,75,0.5912698412698413,0.005198306402407448,-0.00553258560133544,0.9395799318771851,1.3591981538805882,0.024869309782489732,-0.03616088958007739,-0.6505297806326178,3.346528963169927,-0.0118724994572994,-0.017404706066330728,-0.019241738678186994,-0.02827194364314579,0.02307648022414209,0.0,1.02,5.815273016483807,0.005815273016483807,2.307648022414209e-05,0.005815273016483807,0.5946737401161438,0.7981163166986727,0.3,0.4053262598838562,0.00036982058142645514,0.09765661578050011,0.5015222675529768,0.4823057070125448,0.6944823302378142,0.0852367286079043,1.1457105097232003,1.0872135528640023,15.261404946056293,-0.14921357917903263,2017-01-01,2020-12-31,2021-01-01,2021-12-31,2021_reflation_commodity_strength,2021
full_v0,equal_weight_commodities,2022-01-03,2022-12-30,251,10000,10420.486091955483,0.042048609195548314,0.04221962129488954,0.04700008274643176,0.10634679391389373,0.44195110183092623,0.5670691731175617,0.3444446466396772,-0.12257302212931587,2022-07-22,206,0.5139442231075697,0.0046331406576249345,-0.004629088826487829,1.0008752977721924,1.0849824656522087,0.02541444433760926,-0.03646650734741674,-0.4734004367697863,5.076947415791107,-0.011376904010460006,-0.016081610864189258,-0.016305809805261626,-0.02655632196151179,0.013837621489610374,0.0,0.8,3.4870806153818146,0.0034732429938922043,1.3837621489610375e-05,0.0034870806153818146,0.5356393060209294,0.8118257196010931,0.3,0.46436069397907065,3.8707830223824415e-05,0.009801911546410302,0.30135292496081634,0.4124376322684261,0.642213073884693,0.08151760052215155,0.12024288599793533,0.11911243324749747,13.220620225795972,-0.4300903654642609,2018-01-01,2021-12-31,2022-01-01,2022-12-31,2022_rates_inflation_shock,2022
full_v0,equal_weight_commodities,2023-01-03,2023-12-29,250,10000,9957.898544538297,-0.004210145546170385,-0.004243755142322891,-0.0006990125339696662,0.08442904721789114,-0.00827928961658992,-0.012174103775311387,-0.05680796997923191,-0.07470351684586407,2023-12-11,180,0.532,0.003887686186146221,-0.00442526262882815,0.878521008181545,0.9986606332320127,0.016535420669949223,-0.01807718275770957,-0.2959484958954039,0.6533211297283308,-0.008849114972558659,-0.01194140511329477,-0.012938220498502094,-0.016630987787367563,0.01787592609493194,0.0,0.831681567429722,4.504733375922849,0.004468981523732986,1.7875926094931943e-05,0.00450473337592285,0.7496324920985666,0.9843968788126651,0.62,0.25036750790143336,0.00012386030173402245,0.031703029136718186,0.3400745505423044,0.38246293186320635,0.6184358753041469,0.06634732293156391,0.4778343380850392,0.467285437141501,12.393358127781687,0.7690249043231268,2019-01-01,2022-12-31,2023-01-01,2023-12-31,2023_post_shock_chop,2023
full_v0,equal_weight_commodities,2024-01-02,2024-12-31,252,10000,11112.844182689108,0.11128441826891078,0.11128441826891078,0.11032067075933653,0.0979045733571303,1.1268183597196788,1.5327599993702188,1.3194740668047253,-0.0843399814127459,2024-08-06,154,0.5595238095238095,0.004569629213033846,-0.004810784218724647,0.9498719970120106,1.2065941583666082,0.019891586190311727,-0.02546815888231592,-0.5215877331065781,2.00080052254844,-0.009491332664214359,-0.014598932392706453,-0.01654599335344679,-0.022460778706824943,0.014467004493883842,0.0,0.8217869382381318,3.6456851324587283,0.003645685132458728,1.4467004493883842e-05,0.003645685132458728,0.690986064927972,0.893792689565013,0.62,0.309013935072028,0.00019503627957413725,0.050371961139914934,0.3623212159504261,0.3555113888839059,0.59624775796971,0.07859783851138923,0.6408822697155442,0.6227167761077181,11.743272527236298,-0.4523293126101404,2020-01-01,2023-12-31,2024-01-01,2024-12-31,2024_gold_strength_risk_on,2024
full_v0,equal_weight_commodities,2025-01-02,2025-12-31,250,10000,13099.197637372768,0.3099197637372768,0.3127518901462911,0.2829965983780483,0.14601390292249775,1.9381483044683712,2.099539362891935,3.555208424759749,-0.08797005766755461,2025-07-31,46,0.596,0.006224924893544703,-0.006403596193159847,0.9720982875519235,1.434085592527095,0.03684576911936907,-0.06289961541621204,-1.7389582028667618,11.683413543651582,-0.010380955566866287,-0.02243796059055791,-0.028473482533610876,-0.04651728347578671,0.01984291992606277,0.0,0.829249015238664,5.000415821367818,0.004960729981515692,1.984291992606277e-05,0.005000415821367818,0.697005668348369,0.8973110683711822,0.3,0.30299433165163103,0.0005306941558834886,0.14304922875301518,0.5356327549700277,0.4804063448771104,0.693113515145326,0.10525097540244048,1.3591249696836374,1.2575951005451953,15.14252460948533,0.03161755237441523,2021-01-01,2024-12-31,2025-01-01,2025-12-31,2025_policy_dollar_gold_regime,2025
full_v0,equal_weight_commodities,2026-01-02,2026-06-17,115,10000,11698.976205309064,0.1698976205309064,0.4103688155540033,0.35251787219155506,0.13018682831195605,2.7077844722266784,3.3130040813369717,7.330180706983146,-0.0559834514261105,2026-02-02,25,0.6086956521739131,0.0061495010243379335,-0.0059909737890028476,1.0264610130036091,1.5967171313389474,0.02615893772301831,-0.03875008375691413,-0.9124432524726903,4.734226519707129,-0.0107661219301722,-0.01854809390820548,-0.017637675647607647,-0.02833908305962602,0.022898982242325804,0.0,1.0669355257496218,5.770543525066103,0.0026333829578674673,2.2898982242325802e-05,0.005770543525066102,0.5108309760163161,0.7469355257496217,0.32,0.4891690239836839,0.0009472486049261473,0.26946260153006296,0.339870986711672,0.48616021165313705,0.6972518997128201,0.09332132827932346,2.8874707046981225,1.7149712757780597,10.339869627334544,0.08848849178531956,2022-01-01,2025-12-31,2026-01-01,2026-06-17,2026_ytd,2026
momentum_x_risk,equal_weight_commodities,2019-01-02,2019-12-31,252,10000,10480.970498033279,0.04809704980332796,0.04809704980332796,0.04814139951319611,0.04827705022337192,0.9971901615871691,0.8955297521413104,1.1071645462180741,-0.04344164556896357,2019-10-01,82,0.2698412698412698,0.0030006817413323335,-0.00283463561631641,1.0585775907351715,1.308786839454394,0.013807576211369367,-0.01622683179826783,-0.11969683564470453,9.719161179418688,-0.0033574228934588027,-0.007570129679292532,-0.010714869898253206,-0.013719335972034397,0.007619047619047619,0.0,0.64,1.92,0.0019200000000000003,7.6190476190476205e-06,0.0019200000000000003,0.1574603174603175,0.32,0.0,0.8425396825396825,0.00014600354415994428,0.03747534340058656,0.16435358756980123,0.1324454848451807,0.36393060443604014,0.04496650293474194,0.8334057788521603,0.8159195231600975,6.177890350674548,-0.20905815012288032,2015-01-01,2018-12-31,2019-01-01,2019-12-31,2019_late_cycle,2019
momentum_x_risk,equal_weight_commodities,2020-01-02,2020-12-31,253,10000,10898.921297922092,0.08989212979220929,0.08952137655055625,0.08736378765750681,0.05688303575377503,1.5358495990908667,1.7455067641076543,2.1574478792540863,-0.04149410857680014,2020-03-19,46,0.40711462450592883,0.0030507893839768936,-0.003331188782280288,0.915826025893539,1.3872070686328606,0.015529713075321751,-0.012764242825801375,0.064735709406334,3.9288366804231734,-0.005898285187505945,-0.008821731180750282,-0.0101990756600272,-0.011550014892431773,0.009802371541501976,0.0,0.6,2.470197628458498,0.00248,9.802371541501977e-06,0.0024701976284584983,0.25328063241106724,0.6,0.0,0.7467193675889328,0.0003678465205103844,0.09711090886319829,0.08947111107276126,0.12697373394889333,0.3563337395601115,0.053149161950225635,1.827139042270186,1.7438433166903788,6.041992074319975,0.689980723056037,2016-01-01,2019-12-31,2020-01-01,2020-12-31,2020_covid_shock_recovery,2020
