date,strategy,gross_return,cash_return,transaction_cost,net_return,equity,drawdown,turnover,exposure,cash_weight
2015-11-13,model,0.0,0.0001556498627912628,0.0,0.0001556498627912628,10001.556498627913,0.0,0.0,0.0,1.0
2015-11-16,model,0.0,0.0001556498627912628,0.0,0.0001556498627912628,10003.113239524624,0.0,0.0,0.0,1.0
2015-11-17,model,0.0,0.0001556498627912628,0.0,0.0001556498627912628,10004.67022272784,0.0,0.0,0.0,1.0
2015-11-18,model,0.0,0.0001556498627912628,0.0,0.0001556498627912628,10006.22744827528,0.0,0.0,0.0,1.0
2015-11-19,model,0.0,0.0001556498627912628,0.0,0.0001556498627912628,10007.784916204662,0.0,0.0,0.0,1.0
2015-11-20,model,0.0,0.0001556498627912628,0.0,0.0001556498627912628,10009.342626553715,0.0,0.0,0.0,1.0
2015-11-23,model,0.0,0.0001556498627912628,0.0,0.0001556498627912628,10010.900579360168,0.0,0.0,0.0,1.0
2015-11-24,model,0.0,0.0001556498627912628,0.0,0.0001556498627912628,10012.458774661764,0.0,0.0,0.0,1.0
2015-11-25,model,0.0,0.0001556498627912628,0.0,0.0001556498627912628,10014.017212496243,0.0,0.0,0.0,1.0
2015-11-27,model,0.0,0.0001556498627912628,0.0,0.0001556498627912628,10015.575892901355,0.0,0.0,0.0,1.0
2015-11-30,model,0.0,0.0001556498627912628,0.00062,-0.0004643501372087372,10010.925158861264,-0.0004643501372086911,0.62,0.0,1.0
2015-12-01,model,0.005372114282703993,5.9146947860679864e-05,0.0,0.005431261230564673,10065.29710855867,0.0,0.0,0.62,0.38
2015-12-02,model,-0.007859187264610164,5.9146947860679864e-05,0.0,-0.007800040316749484,9986.78738531185,-0.007800040316749524,0.0,0.62,0.38
2015-12-03,model,0.0068956853959685335,5.9146947860679864e-05,0.0,0.0069548323438292136,10056.243817230164,-0.0008994559455983708,0.0,0.62,0.38
2015-12-04,model,0.008690420077457902,5.9146947860679864e-05,0.0,0.008749567025318582,10144.231596531965,0.0,0.0,0.62,0.38
