strategy,benchmark,alpha_daily,alpha_annualised,beta,r_squared,correlation,tracking_error,information_ratio,alpha_t_stat,beta_t_stat
gold_only_monthly,equal_weight_monthly,0.0003903356130402373,0.10334379426413687,0.4876060173072907,0.2671481039318645,0.5168637189161805,0.13830247790287056,0.7472302436744114,2.3100311856077718,31.13929375636643
risk_only_monthly,equal_weight_monthly,0.0003232694710642353,0.08485977840569414,0.36061756035348813,0.42188508224205656,0.6495268141055124,0.07229124753887356,1.1738596482245245,3.6600633339691653,44.05861236218917
momentum_x_risk_monthly,equal_weight_monthly,0.0003166549105074653,0.08305354271388454,0.12116349327575823,0.1321970640325466,0.36358914179681795,0.05316187422131671,1.5622764232902449,4.875235182396642,20.129879064616144
momentum_trend_risk_monthly,equal_weight_monthly,0.00030744666353108165,0.08054403638394136,0.5117458215595811,0.46444316035795474,0.6815006679071964,0.09410650608428103,0.8558816997393015,2.673989897757624,48.02908567225789
full_v0_normalised_monthly,equal_weight_monthly,0.0003010551398459673,0.07880557238359098,0.33618367780110525,0.4061455715354765,0.6372955135064708,0.06961528534685353,1.1320153611516128,3.5395745677052433,42.65222383782793
full_v0_old_raw_weights_monthly,equal_weight_monthly,0.00029978468203767296,0.07846034596778173,0.3822146641914726,0.4526432417788294,0.6727876647047192,0.07197694549791536,1.0900760712338669,3.408989417486904,46.90116129812656
momentum_trend_volatility_monthly,equal_weight_monthly,0.00029967570033200697,0.0784307370721502,0.45675857030290434,0.4316690491221734,0.6570152579066741,0.08975130016249547,0.8738674195265217,2.7328790267702328,44.94854309422826
signal_x_risk_modifier_monthly,equal_weight_monthly,0.00028596189352849587,0.07471133031907473,0.10401675149017121,0.1270170025714542,0.35639444800873954,0.04669862508530028,1.5998614559337903,5.012030410130818,19.672921343346946
volatility_only_monthly,equal_weight_monthly,0.0002802076833140415,0.07315450309461213,0.330213015820735,0.4372620844997205,0.6612579560955922,0.06415126297944079,1.1403439261680117,3.575069227631382,45.463057524322664
trend_only_monthly,equal_weight_monthly,0.00021789988025256986,0.056440024296241065,0.5789407908504242,0.49112780751161556,0.7008051137881454,0.10091833867013687,0.5592643026033329,1.7672440431449443,50.66799521625895
momentum_trend_monthly,equal_weight_monthly,0.00019847259388922598,0.05128174686169307,0.5901015840867977,0.48916184413001784,0.6994010610014956,0.10326924523228147,0.49658295406678,1.573037840948231,50.469086141744384
momentum_only_monthly,equal_weight_monthly,0.00019039320493398693,0.04914392361184006,0.5538901435138556,0.4676142944589202,0.6838232918370946,0.10120961801779926,0.48556574537409425,1.539711261124943,48.33608976963903
momentum_x_volatility_monthly,equal_weight_monthly,0.00018796688234854427,0.04850275941932414,0.048089099396647364,0.07704810597946399,0.2775754059340706,0.02850257111000515,1.7016976900830674,5.397677436846574,14.901578303800447
cash_monthly,equal_weight_monthly,0.0001556498627912628,0.039999999999982716,0.0,,,0.0,,,
