,CAGR,Volatility,Sharpe,Sortino,Max drawdown,Calmar
Model,0.1074193383066755,0.11623443543706861,0.9362413292380105,1.2452646362744906,-0.17634875549548545,0.6091301183547362
Gold only,0.12301489616049976,0.16118170981677774,0.8007993822375565,1.0650542822819657,-0.24464611578427164,0.5028279143780644
Equal weight,0.05996974145336775,0.17113059831276403,0.4261217806061206,0.5919875979776765,-0.3520235968690524,0.17035716351615945
Cash,0.0,0.0,,,0.0,
