strategy,final_equity,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,hit_rate,average_daily_turnover,total_transaction_cost_drag
gold_only,34327.80477105424,2.4327804771054238,0.12301489616049976,0.16118170981677774,0.8007993822375565,1.0650542822819657,-0.24464611578427164,0.5028279143780644,0.5352743561030235,0.0003732736095558044,0.001
model_monthly,21105.59708184559,1.1105597081845588,0.07278933637274654,0.16975231609237307,0.49945332783847707,0.6137198430272198,-0.3608146314126591,0.2017360994695869,0.528555431131019,0.01675866440288744,0.04489646193533546
model_weekly,18398.311507426086,0.8398311507426086,0.059025277357763306,0.16680383017989248,0.4277150742426949,0.5387367624444787,-0.37109315376542074,0.15905784506893647,0.5251959686450168,0.03991415314584801,0.1069300162777268
equal_weight_commodities,18573.495794032184,0.8573495794032184,0.05996974145336775,0.17113059831276403,0.4261217806061206,0.5919875979776765,-0.3520235968690524,0.17035716351615945,0.5222097797685704,0.00037327360955580435,0.0009999999999999998
model_daily,17840.97731302641,0.7840977313026412,0.05596538432288001,0.16647251591057224,0.4108632543146442,0.5147088628906525,-0.30678556300419657,0.18242509124236217,0.5233296005972378,0.09141846774213216,0.24491007508117202
cash,10000.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
