strategy,final_equity,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,hit_rate,average_daily_turnover,total_transaction_cost_drag
model_monthly,29585.564357121693,1.9585564357121692,0.1074193383066755,0.11623443543706861,0.9362413292380105,1.2452646362744906,-0.17634875549548545,0.6091301183547362,0.5431131019036954,0.012896979128352777,0.03455100708485709
gold_only,34327.80477105424,2.4327804771054238,0.12301489616049976,0.16118170981677774,0.8007993822375565,1.0650542822819657,-0.24464611578427164,0.5028279143780644,0.5352743561030235,0.0003732736095558044,0.001
model_weekly,24322.82732063137,1.432282732063137,0.0872023758346474,0.11574207235511921,0.7804792154105514,1.0464453336539696,-0.21421001806377793,0.40708822408429174,0.5337812616648003,0.029868454014656643,0.08001758830526516
model_daily,22043.21779565828,1.2043217795658276,0.07718462210651067,0.1147852790935841,0.705350332623532,0.9485413277801177,-0.21567999494087575,0.35786639427393,0.5408734602463606,0.07219895686308443,0.19342100543620322
equal_weight_commodities,18573.495794032184,0.8573495794032184,0.05996974145336775,0.17113059831276403,0.4261217806061206,0.5919875979776765,-0.3520235968690524,0.17035716351615945,0.5222097797685704,0.00037327360955580435,0.0009999999999999998
cash,10000.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
