strategy,benchmark,start_date,end_date,observations,initial_capital,final_equity,total_return,cagr,annualised_return,annualised_volatility,sharpe,sortino,calmar,max_drawdown,max_drawdown_date,max_drawdown_duration_days,hit_rate,average_win,average_loss,win_loss_ratio,profit_factor,best_day,worst_day,skew,kurtosis,var_95,cvar_95,var_99,cvar_99,average_daily_turnover,median_daily_turnover,max_daily_turnover,annualised_turnover,total_transaction_cost_drag,average_daily_transaction_cost,annualised_transaction_cost_drag,average_exposure,max_exposure,min_exposure,average_cash,alpha_daily,alpha_annualised,beta,r_squared,correlation,tracking_error,information_ratio,alpha_t_stat,beta_t_stat,information_ratio_active
model,equal_weight,2015-10-16,2026-06-12,2679,10000,28682.42270450283,1.868242270450283,0.10419457775148033,0.10448104007199568,0.10332325348074839,1.0112054794273686,1.363930752380558,0.7348722009276815,-0.14178598349474658,2022-09-26,907,0.5371407241508025,0.004781574987828545,-0.004691019061599604,1.0193041053638485,1.1925029330232344,0.03724937710536103,-0.043842213869350985,-0.47296794370759554,4.405447901818432,-0.009798267917492378,-0.014890055752602374,-0.01773006969085729,-0.026024765517683388,0.013252465546336993,0.0,0.95654923944497,3.3396213176769223,0.0355033551986368,1.3252465546336993e-05,0.003339621317676922,0.7924729156533544,0.9924054450336901,0.0,0.20752708434664557,0.00029559341816667037,0.07732221773171122,0.41127921924300814,0.4640157526221892,0.6811870173617441,0.0756439303202353,1.0221866765036,3.2090001076057058,48.14093654052812,0.2504948451355416
gold_only,equal_weight,2015-10-16,2026-06-12,2679,10000,34327.80477105424,2.4327804771054238,0.12301489616049976,0.12907421364926872,0.16118170981677774,0.8007993822375565,1.0650542822819657,0.5028279143780642,-0.24464611578427176,2026-06-10,897,0.5352743561030235,0.007193524450780763,-0.007229856300327698,0.9949747480395581,1.1534307103385013,0.06358720612372104,-0.10274245274560034,-0.5189184249187001,7.242434100874757,-0.015527345918655176,-0.023546822498023944,-0.029514366856611123,-0.039783475524475566,0.0003732736095558044,0.0,1.0,0.0940649496080627,0.001,3.732736095558044e-07,9.406494960806272e-05,1.0,1.0,1.0,0.0,0.0003715003511412105,0.09812118210892695,0.48621669836057546,0.26649162217199984,0.5162282655686338,0.13804424242858337,0.7107951797387678,2.2099883729952605,31.186269425922024,0.34308551314178437
equal_weight,equal_weight,2015-10-16,2026-06-12,2679,10000,18573.495794032184,0.8573495794032184,0.05996974145336775,0.07292247526922578,0.17113059831276403,0.4261217806061206,0.5919875979776765,0.17035716351615945,-0.3520235968690524,2020-04-28,823,0.5222097797685704,0.007855983780650949,-0.007980692146126846,0.9843737406239357,1.0758897368225673,0.05655905071360208,-0.0676274046264252,-0.35061906941295073,3.7656708536862475,-0.016617547013194546,-0.02489963809700279,-0.028539362902492805,-0.04167275653915884,0.00037327360955580435,0.0,0.9999999999999999,0.09406494960806269,0.0009999999999999998,3.7327360955580435e-07,9.40649496080627e-05,0.9999999999999998,0.9999999999999999,0.9999999999999999,2.220446049250313e-16,-5.421010862427522e-20,0.0,1.0000000000000002,1.0,1.0,3.69766611645824e-17,0.0,-1.2034910571567132,2.3936761155967872e+17,
cash,equal_weight,2015-10-16,2026-06-12,2679,10000,10000.0,0.0,0.0,0.0,0.0,,,,0.0,2015-10-16,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,-0.42612178060612055
